stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart
71,0.5,2,68.41877383299288,,68.41076512499421,68.41877383299288,68.90884858299978,68.90884858299978,68.91311320799286,69.19577970799583,69.27750524999283,left,-2,1,1,0.35884975000226405,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
72,0.5,2,69.28581324999686,,69.27765249999356,69.28581324999686,69.77563037499203,69.77563037499203,69.77982549999433,,70.03138920798665,left,-2,1,1,0.2520446249982342,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
73,0.5,2,70.04240575,,70.03152349998709,70.04240575,70.52967408299446,70.52967408299446,70.52967408299446,70.82564087498758,71.07762420798826,left,-2,1,1,0.5357897500070976,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
74,0.5,1.5,71.08620962499117,,71.07779967,71.08620962499117,71.57574770798965,71.57574770798965,71.58005562498874,71.86281374999089,71.96506204099569,left,-1.5,1,1,0.38666058400121983,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
75,0.5,1.5,71.97540683299303,,71.96518266599742,71.97540683299303,72.45920108,72.45920108,72.46408716599399,72.74581899998884,72.88195208300021,left,-1.5,1,1,0.4206788330047857,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
76,0.5,1.5,72.89205729099922,,72.88207917,72.89205729099922,73.38096816599136,73.38096816599136,73.38096816599136,73.67592683299154,74.71606262,right,1.5,0,0,1.3305702920042677,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
77,0.5,2,74.72542462499405,,74.71621804099414,74.72542462499405,75.21372333,75.21372333,75.21372333,75.50936733,75.82816524998634,left,-2,1,1,0.6034272909892024,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
78,0.5,2,75.83702083298704,,75.82831454099505,75.83702083298704,76.32601745799184,76.32601745799184,76.33018812499358,76.61301174999971,76.68126004099031,left,-2,1,1,0.35210758399625774,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
79,0.5,2,76.69258867,,76.68138583299879,76.69258867,77.18004024999391,77.18004024999391,77.18004024999391,77.47605716598628,77.52782829100033,left,-2,1,1,0.33981983400008176,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
80,0.5,1.5,77.53612512499967,,77.52799783,77.53612512499967,78.02608229099133,78.02608229099133,78.03028479099157,78.31285991599725,78.42826183298894,left,-1.5,1,1,0.3924183330091182,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
81,0.5,1.5,78.43662324998877,,78.42840970799443,78.43662324998877,78.92617442,78.92617442,78.93038296,79.21327154099708,79.27854329098773,left,-1.5,1,1,0.3424097919923952,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
82,0.5,1.5,79.28780029100017,,79.27871970798878,79.28780029100017,79.77614342,79.77614342,79.78037508299167,80.06306645799486,80.11214804,right,1.5,0,0,0.324661084,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
83,0.5,2,80.12079354099114,,80.11232554099115,80.12079354099114,80.60940345798736,80.60940345798736,80.61351612499857,80.89595529,81.14552770799492,left,-2,1,1,0.5291284999984782,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
84,0.5,2,81.15433070799918,,81.14569933299208,81.15433070799918,81.64269920799416,81.64269920799416,81.64729512498889,81.92969433299731,81.99816329099122,left,-2,1,1,0.35228312500112224,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
85,0.5,2,82.00931574999413,,81.99831662498764,82.00931574999413,82.49732012,82.49732012,82.49732012,82.79308408299403,82.92815820800024,left,-2,1,1,0.41797287500230595,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
86,0.5,1.5,82.93639225,,82.92830616599531,82.93639225,83.42628316598712,83.42628316598712,83.43051079,83.71326945799228,83.84587824999471,left,-1.5,1,1,0.4052158749982482,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
87,0.5,1.5,83.85435417,,83.84603695799888,83.85435417,84.34295312500035,84.34295312500035,84.34719862499333,84.62979341599566,84.92845637499704,right,1.5,1,1,0.5763517909945222,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
88,0.5,1.5,84.93701537499146,,84.92860199999996,84.93701537499146,85.42640625000058,85.42640625000058,85.43051612499403,85.71371291599644,85.86177004,left,-1.5,1,1,0.4209770410088822,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
89,0.5,1,85.86978445798741,,85.86192270799074,85.86978445798741,86.35965620799107,86.35965620799107,86.36386516600032,86.64630733299418,87.54816816598759,right,1,0,0,1.1862879170075757,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
